runtime,solution cost,initial solution cost,min f value,root g value,iterations,group size,runtime of initial solution,area under curve,preprocessing runtime,solver name,instance name
1.00521,-1,-1,1411,1411,1,-1,1.00521,7.36163,0.0253618,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00471,-1,-1,1411,1411,1,-1,1.00471,6.64928,0.0247681,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00296,-1,-1,1411,1411,1,-1,1.00296,4.18301,0.0249342,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00551,-1,-1,1411,1411,1,-1,1.00551,7.77503,0.0253049,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00192,-1,-1,774,774,1,-1,1.00192,1.48817,0.0125977,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00426,-1,-1,411,411,1,-1,1.00426,1.75431,0.00623319,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00014,1382,1382,1382,1382,583,5,0.00201021,0,0.0239871,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
3.02469,-1,-1,1411,1411,1,-1,3.02469,2858.86,0.0641983,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.80236,-1,-1,1411,1411,1,-1,1.80236,1132.94,0.0248827,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.87889,-1,-1,1411,1411,1,-1,1.87889,1240.99,0.0258268,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00242,-1,-1,1073744083,1073744083,1,-1,1.00242,2.59316e+06,0.0371635,LNS(EECBS;PP),lns_agents_fileNamespaceagents30height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00226,-1,-1,1073744083,1073744083,1,-1,1.00226,2.43188e+06,0.0397341,LNS(EECBS;PP),lns_agents_fileNamespaceagents30height100memory_limit16obs_density0.01timeout1trials1width100.agents
